"anno";"periodo";"indiceImacec";"Imacec12meses";"ImacecAcumulado";"ImacecMineroIndice";"ImacecMinero12meses";"ImacecMineroAcumulado";"ImacecNoMineroIndice";"ImacecNoMinero12meses";"ImacecNoMineroAcumulado";"ImacecACostoFIndice";"ImacecACostoF12Meses";"ImacecACostoFAcumulado"
"2013";"Enero";"97.5";;;"97.1";;;"97.6";;;"97.6";;
"2013";"Febrero";"89.9";;;"85.9";;;"90.4";;;"90.0";;
"2013";"Marzo";"101.4";;;"99.2";;;"101.6";;;"101.6";;
"2013";"Abril";"99.5";;;"93.1";;;"100.2";;;"99.5";;
"2013";"Mayo";"100.2";;;"97.8";;;"100.5";;;"100.3";;
"2013";"Junio";"98.9";;;"101.8";;;"98.5";;;"99.3";;
"2013";"Julio";"99.1";;;"96.9";;;"99.4";;;"99.0";;
"2013";"Agosto";"99.3";;;"101.8";;;"99.0";;;"99.2";;
"2013";"Septiembre";"96.4";;;"101.9";;;"95.8";;;"96.5";;
"2013";"Octubre";"102.4";;;"106.8";;;"101.9";;;"102.4";;
"2013";"Noviembre";"104.9";;;"108.0";;;"104.5";;;"105.1";;
"2013";"Diciembre";"110.5";;;"110.0";;;"110.6";;;"109.5";;
"2014";"Enero";"99.1";"1.6";"1.6";"96.4";"-0.7";"-0.7";"99.4";"1.9";"1.9";"99.1";"1.5";"1.5"
"2014";"Febrero";"92.9";"3.3";"2.4";"93.2";"8.5";"3.6";"92.9";"2.7";"2.3";"92.9";"3.2";"2.3"
"2014";"Marzo";"105.1";"3.7";"2.9";"100.6";"1.5";"2.9";"105.6";"3.9";"2.9";"105.1";"3.5";"2.7"
"2014";"Abril";"101.1";"1.7";"2.6";"99.1";"6.5";"3.8";"101.4";"1.2";"2.4";"101.4";"1.9";"2.5"
"2014";"Mayo";"102.5";"2.3";"2.5";"106.5";"9.0";"4.8";"102.0";"1.5";"2.2";"102.5";"2.2";"2.5"
"2014";"Junio";"100.3";"1.4";"2.3";"103.6";"1.7";"4.3";"99.8";"1.3";"2.1";"100.5";"1.3";"2.3"
"2014";"Julio";"100.0";"0.9";"2.1";"100.1";"3.3";"4.1";"100.0";"0.7";"1.9";"100.1";"1.1";"2.1"
"2014";"Agosto";"99.9";"0.6";"1.9";"100.7";"-1.0";"3.5";"99.8";"0.8";"1.7";"100.0";"0.8";"1.9"
"2014";"Septiembre";"98.9";"2.5";"2.0";"102.3";"0.4";"3.1";"98.4";"2.8";"1.9";"98.8";"2.4";"2.0"
"2014";"Octubre";"104.2";"1.8";"2.0";"107.3";"0.5";"2.8";"103.9";"2.0";"1.9";"104.4";"2.0";"2.0"
"2014";"Noviembre";"106.0";"1.0";"1.9";"103.8";"-3.9";"2.2";"106.2";"1.7";"1.8";"106.1";"1.0";"1.9"
"2014";"Diciembre";"113.0";"2.2";"1.9";"114.0";"3.7";"2.3";"112.8";"2.0";"1.9";"111.8";"2.2";"1.9"
"2015";"Enero";"102.1";"3.1";"3.1";"106.7";"10.7";"10.7";"101.6";"2.2";"2.2";"102.6";"3.5";"3.5"
"2015";"Febrero";"95.2";"2.4";"2.8";"93.4";"0.3";"5.6";"95.4";"2.7";"2.4";"95.2";"2.4";"3.0"
"2015";"Marzo";"107.6";"2.4";"2.6";"101.4";"0.7";"3.9";"108.3";"2.5";"2.5";"107.7";"2.4";"2.8"
"2015";"Abril";"103.7";"2.5";"2.6";"99.4";"0.3";"3.0";"104.2";"2.8";"2.5";"103.9";"2.5";"2.7"
"2015";"Mayo";"103.6";"1.1";"2.3";"106.0";"-0.5";"2.2";"103.3";"1.3";"2.3";"103.9";"1.4";"2.4"
"2015";"Junio";"103.0";"2.7";"2.4";"107.3";"3.6";"2.5";"102.5";"2.6";"2.3";"103.3";"2.8";"2.5"
"2015";"Julio";"102.6";"2.5";"2.4";"97.9";"-2.2";"1.8";"103.1";"3.1";"2.5";"102.6";"2.5";"2.5"
"2015";"Agosto";"101.6";"1.7";"2.3";"93.4";"-7.3";"0.7";"102.6";"2.8";"2.5";"101.6";"1.6";"2.4"
"2015";"Septiembre";"101.8";"2.9";"2.4";"102.4";"0.1";"0.6";"101.7";"3.3";"2.6";"101.8";"3.0";"2.5"
"2015";"Octubre";"105.7";"1.4";"2.3";"105.8";"-1.4";"0.4";"105.6";"1.7";"2.5";"105.8";"1.3";"2.3"
"2015";"Noviembre";"108.4";"2.3";"2.3";"102.4";"-1.3";"0.2";"109.1";"2.7";"2.5";"108.6";"2.3";"2.3"
"2015";"Diciembre";"115.3";"2.1";"2.3";"111.0";"-2.6";"0.0";"115.9";"2.7";"2.5";"114.3";"2.2";"2.3"
"2016";"Enero";"103.3";"1.2";"1.2";"98.8";"-7.4";"-7.4";"103.8";"2.2";"2.2";"103.9";"1.3";"1.3"
"2016";"Febrero";"99.0";"4.0";"2.5";"95.5";"2.2";"-2.9";"99.4";"4.1";"3.1";"99.0";"4.1";"2.6"
"2016";"Marzo";"110.3";"2.6";"2.5";"103.0";"1.7";"-1.4";"111.1";"2.5";"2.9";"110.6";"2.7";"2.7"
"2016";"Abril";"105.0";"1.2";"2.2";"93.0";"-6.4";"-2.6";"106.2";"1.9";"2.7";"105.3";"1.3";"2.3"
"2016";"Mayo";"106.2";"2.5";"2.3";"103.5";"-2.3";"-2.6";"106.5";"3.1";"2.8";"106.5";"2.5";"2.3"
"2016";"Junio";"104.3";"1.3";"2.1";"97.0";"-9.6";"-3.8";"105.1";"2.6";"2.7";"104.7";"1.3";"2.2"
"2016";"Julio";"103.5";"0.9";"1.9";"96.3";"-1.7";"-3.5";"104.2";"1.1";"2.5";"103.6";"1.0";"2.0"
"2016";"Agosto";"104.6";"3.0";"2.1";"96.9";"3.7";"-2.7";"105.4";"2.8";"2.5";"104.7";"3.1";"2.1"
"2016";"Septiembre";"103.2";"1.4";"2.0";"98.2";"-4.1";"-2.8";"103.8";"2.1";"2.5";"103.0";"1.2";"2.0"
"2016";"Octubre";"105.4";"-0.3";"1.8";"98.4";"-6.9";"-3.3";"106.1";"0.4";"2.3";"105.3";"-0.4";"1.8"
"2016";"Noviembre";"109.5";"1.0";"1.7";"103.6";"1.2";"-2.9";"110.1";"0.9";"2.1";"109.4";"0.8";"1.7"
"2016";"Diciembre";"116.0";"0.6";"1.6";"106.8";"-3.9";"-2.9";"117.0";"1.0";"2.0";"115.1";"0.7";"1.6"
"2017";"Enero";"104.8";"1.4";"1.4";"98.4";"-0.5";"-0.5";"105.5";"1.6";"1.6";"105.1";"1.1";"1.1"
"2017";"Febrero";"97.6";"-1.4";"0.1";"78.8";"-17.6";"-8.9";"99.4";"0.1";"0.9";"97.5";"-1.5";"-0.2"
"2017";"Marzo";"110.6";"0.3";"0.1";"79.1";"-23.2";"-13.8";"113.7";"2.3";"1.4";"110.4";"-0.2";"-0.2"
